strain	host	long_name	target	replicate	score
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	P. aeruginosa 27873	C	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	M. luteus PID19	A	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	R. corynebacteroides PID5	A	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	S. aureus PID40	A	0
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	A. baumannii PID42	A	1
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	E. coli K-12 MG1665	A	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	P. aeruginosa 27873	A	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	M. luteus PID19	B	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	R. corynebacteroides PID5	B	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	S. aureus PID40	B	0
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	A. baumannii PID42	B	1
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	E. coli K-12 MG1665	B	0
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	P. aeruginosa 27873	B	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	M. luteus PID19	C	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	R. corynebacteroides PID5	C	2
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	S. aureus PID40	C	0
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	A. baumannii PID42	C	0
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	E. coli K-12 MG1665	C	0
p3-SID4130	p3-HID414	p3-SID4130 (p3-HID414)	P. aeruginosa 27873	C	2
